Nombre,Info,Precio,Precio UF,Farmacia
Paracetamol,Paracetamol 500 mg x 16 comprimidos,$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol 500 mg x 16 comprimidos,$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol 500 mg x 16 comprimidos,$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol 125 mg x 6 supositorios,$1.290,0.03903485267671668,Farmex
Paracetamol,Paracetamol Infantil 80 mg x 16 comprimidos,$1.390,0.04206081024855518,Farmex
Paracetamol,"Paracetamol ""Sin Flu"" 500 mg x 16 comprimidos",$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol Infantil 100 mg / mL x 15 mL,$1.190,0.036008895104878175,Farmex
Paracetamol,Paracetamol Infantil 100 mg / mL x 15 mL,$1.090,0.03298293753303967,Farmex
Paracetamol,Paracetamol Infantil 80 mg x 1 Blister x 10 comprimidos,$590,0.017853149673847164,Farmex
Tapsin,Tapsin Infantil Gotas 100 mg / mL x 15 mL,$2.990,0.09047613139797121,Farmex
Tramavolta,"Tramavolta 37,5 mg / 325 mg x 30 comprimidos",$2.990,0.09047613139797121,Farmex
Tapsin,Tapsin InstaFlu Dia y Noche x 18 comprimidos,$2.990,0.09047613139797121,Farmex
Panadol,Panadol Advance 500 mg x 12 comprimidos,$1.490,0.04508676782039368,Farmex
Tapsin,Tapsin Forte x 20 comprimidos,$1.990,0.0602165556795862,Farmex
Gesidol,Gesidol 1 g x 20 comprimidos,$4.990,0.15099528283474126,Farmex
Kitadol,Kitadol Duo x 10 comprimidos,$2.990,0.09047613139797121,Farmex
Xumadol,Xumadol Granulado Efervescente 1 g x 20 sobres,$8.690,0.2629557129927658,Farmex
Kitadol,Kitadol Infantil 160 mg x 16 comprimidos masticables,$2.290,0.0692944283951017,Farmex
Cronus,Cronus x 20 comprimidos,$13.990,0.42333146430020646,Farmex
Kitadol,Kitadol Forte x 10 comprimidos,$1.890,0.057190598107747695,Farmex
Xumadol,Xumadol 1 g x 20 comprimidos,$5.490,0.16612507069393379,Farmex
Kitadol,Kitadol 500 mg x 24 comprimidos,$990,0.029956979961201172,Farmex
Kitadol,Kitadol 1 g x 18 comprimidos,$5.990,0.18125485855312629,Farmex
Panadol,Panadol 80 mg x 20 comprimidos,$2.990,0.09047613139797121,Farmex
Supracalm,Supracalm 1 g x 20 comprimidos,$7.990,0.24177400998989634,Farmex
Tapsin,Tapsin Nocturno x 12 comprimidos,$1.290,0.03903485267671668,Farmex
Tapsin,Tapsin Caliente Día - Sabor Limón - Sobre de 5 g x ( 1 sobre ),$530,0.016037575130744063,Farmex
Desdol,Desdol x 20 comprimidos,$4.990,0.15099528283474126,Farmex
Dolider,Dolider x 10 comprimidos,$1.990,0.0602165556795862,Farmex
Tapsin,Tapsin Periodo x 30 comprimidos,$2.890,0.08745017382613271,Farmex
Predual,Predual x 10 comprimidos,$1.990,0.0602165556795862,Farmex
Cortigrip,Cortigrip x 10 comprimidos,$1.990,0.0602165556795862,Farmex
Brevex,Brevex x 20 comprimidos,$11.590,0.3507084825760824,Farmex
Nastifrin,Nastifrin Compuesto Jarabe x 100 mL,$9.290,0.28111145842379687,Farmex
Tapsin,Tapsin Puro Sin Cafeina 500 mg x 24 comprimidos,$1.490,0.04508676782039368,Farmex
Tapsin,Tapsin Dia y Noche Plus x 18 comprimidos,$2.990,0.09047613139797121,Farmex
Pack,Pack 3 Tapsin Noche Plus - Sabor Limón - Sobre de 5 g,$1.390,0.04206081024855518,Farmex
Pack,Pack 3 Tapsin Caliente Día Plus - Sabor Limón - Sobre de 5 g,$1.390,0.04206081024855518,Farmex
Doloten,Doloten x 30 comprimidos,$16.400,0.49625704178151436,Farmex
Nastul,Nastul compuesto x 10 comprimidos,$4.390,0.13283953740371024,Farmex
Tapsin,Tapsin Caliente Noche - Sabor Limón - Sobre de 5 g ( 1 sobre ),$530,0.016037575130744063,Farmex
Tapsin,"Tapsin Día Polvo - Sabor Limón, Miel y Jengibre - Sobre de 5 g x (1 sobre)",$660,0.019971319974134115,Farmex
Tapsin,"Tapsin Noche Polvo - Sabor Limón, Miel y Jengibre - Sobre de 5 g x (1 sobre)",$660,0.019971319974134115,Farmex
Tapsin,Tapsin Caliente Día Plus - Sabor Limón - Sobre de 5 g x ( 1 sobre ),$530,0.016037575130744063,Farmex
Tapsin,Tapsin Migraña x 10 comprimidos,$1.990,0.0602165556795862,Farmex
Tapsin,Tapsin Noche Plus - Sabor Limón - Sobre de 5 g x (1 sobre),$660,0.019971319974134115,Farmex
Tapsin,Tapsin Analgesico x 12 comprimidos,$990,0.029956979961201172,Farmex
Tapsin,Tapsin Periodo x 12 comprimidos,$1.290,0.03903485267671668,Farmex
Pasurta,"Pasurta 70 mg / 1 ml Solución Inyectable Jeringa Precargada ""Despacho Gratis solamente en algunas comunas de la Región Metropolitana""",$242.653,7.342576826793281,Farmex
Dulcolax,Dulcolax Perlas x 30 cápsulas,$7.990,0.24177400998989634,Farmex
