Nombre,Info,Precio,Precio UF,Farmacia
Paracetamol,PARACETAMOL 125 MG - 6 SUPOSITORIOS INFANTIL,$1.120,0.033890724804591224,Dr. Simi
Paracetamol,PARACETAMOL 80 MG - 16 COMPRIMIDOS MASTICABLES,$1.680,0.050836087206886836,Dr. Simi
Paracetamol,PARACETAMOL 500 MG - 16 COMPRIMIDOS,$480,0.014524596344824812,Dr. Simi
Paracetamol,PARACETAMOL 100 MG/ML - GOTAS 15 ML,$1.120,0.033890724804591224,Dr. Simi
Paracetamol,PANADOL - PARACETAMOL 160 MG - 16 COMPRIMIDOS MASTICABLES,$2.600,0.07867489686780106,Dr. Simi
Paracetamol,ALIVIDOL - PARACETAMOL 500 MG - 24 COMPRIMIDOS,$1.200,0.03631149086206203,Dr. Simi
Paracetamol,DOLSOM - PARACETAMOL 100 MG/ML SOLUCIÓN GOTAS ORALES 30 ML,$1.800,0.05446723629309304,Dr. Simi
Paracetamol,PANADOL - PARACETAMOL 80 MG - 20 COMPRIMIDOS MASTICABLES,$2.560,0.07746451383906566,Dr. Simi
Paracetamol,ALGIAFIN - PARACETAMOL 120 MG/5ML - JARABE 60 ML,$3.000,0.09077872715515507,Dr. Simi
Paracetamol,DROPOL - PARACETAMOL 1 GR - 20 COMPRIMIDOS EFERVECENTES,$6.120,0.18518860339651633,Dr. Simi
Paracetamol,Paracetamol 500 mg x 16 comprimidos,$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol 500 mg x 16 comprimidos,$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol 500 mg x 16 comprimidos,$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol 125 mg x 6 supositorios,$1.290,0.03903485267671668,Farmex
Paracetamol,Paracetamol Infantil 80 mg x 16 comprimidos,$1.390,0.04206081024855518,Farmex
Paracetamol,"Paracetamol ""Sin Flu"" 500 mg x 16 comprimidos",$790,0.023905064817524167,Farmex
Paracetamol,Paracetamol Infantil 100 mg / mL x 15 mL,$1.190,0.036008895104878175,Farmex
Paracetamol,Paracetamol Infantil 100 mg / mL x 15 mL,$1.090,0.03298293753303967,Farmex
Paracetamol,Paracetamol Infantil 80 mg x 1 Blister x 10 comprimidos,$590,0.017853149673847164,Farmex
Tapsin,Tapsin Infantil Gotas 100 mg / mL x 15 mL,$2.990,0.09047613139797121,Farmex
Tramavolta,"Tramavolta 37,5 mg / 325 mg x 30 comprimidos",$2.990,0.09047613139797121,Farmex
Tapsin,Tapsin InstaFlu Dia y Noche x 18 comprimidos,$2.990,0.09047613139797121,Farmex
Panadol,Panadol Advance 500 mg x 12 comprimidos,$1.490,0.04508676782039368,Farmex
Tapsin,Tapsin Forte x 20 comprimidos,$1.990,0.0602165556795862,Farmex
Gesidol,Gesidol 1 g x 20 comprimidos,$4.990,0.15099528283474126,Farmex
Kitadol,Kitadol Duo x 10 comprimidos,$2.990,0.09047613139797121,Farmex
Xumadol,Xumadol Granulado Efervescente 1 g x 20 sobres,$8.690,0.2629557129927658,Farmex
Kitadol,Kitadol Infantil 160 mg x 16 comprimidos masticables,$2.290,0.0692944283951017,Farmex
Cronus,Cronus x 20 comprimidos,$13.990,0.42333146430020646,Farmex
Kitadol,Kitadol Forte x 10 comprimidos,$1.890,0.057190598107747695,Farmex
Xumadol,Xumadol 1 g x 20 comprimidos,$5.490,0.16612507069393379,Farmex
Kitadol,Kitadol 500 mg x 24 comprimidos,$990,0.029956979961201172,Farmex
Kitadol,Kitadol 1 g x 18 comprimidos,$5.990,0.18125485855312629,Farmex
Panadol,Panadol 80 mg x 20 comprimidos,$2.990,0.09047613139797121,Farmex
Supracalm,Supracalm 1 g x 20 comprimidos,$7.990,0.24177400998989634,Farmex
Tapsin,Tapsin Nocturno x 12 comprimidos,$1.290,0.03903485267671668,Farmex
